id,year
440,2007
730,2012
578080,2017
304930,2017
550,2009
218620,2013
4000,2006
230410,2013
240,2004
444090,2018
440,2007
730,2012
578080,2017
304930,2017
550,2009
218620,2013
4000,2006
230410,2013
240,2004
444090,2018
72850,2011
105600,2011
620,2011
8930,2010
271590,2015
49520,2012
301520,2017
252950,2015
400,2007
236390,2013
252490,2018
346110,2017
220,2004
291550,2017
219640,2012
304050,2015
238960,2013
1250,2009
113200,2011
224260,2013
630,2010
291480,2014
377160,2015
107410,2013
255710,2015
222880,2014
227300,2012
113400,2011
221380,2013
333930,2015
381210,2016
386360,2015
204360,2012
242760,2018
203160,2013
292030,2015
431960,2018
206420,2013
10180,2009
99900,2011
208090,2014
550650,2019
273110,2014
22380,2010
55230,2011
42910,2011
200710,2012
24240,2011
413150,2016
273350,2015
231430,2013
500,2008
20920,2012
8870,2013
33930,2010
241930,2014
104900,2013
300,2010
489830,2016
363970,2015
211820,2016
209870,2012
48700,2010
244850,2019
251570,2013
8190,2010
316010,2015
8980,
265930,2014
319630,2015
232090,2016
253710,2014
380,2006
555570,2016
346900,2015
42700,2010
200210,2012
205100,2012
289070,2016
238460,2014
391540,2015
35450,2011
295110,2015
10500,2009
239140,2015
588430,2017
214950,2013
374320,2016
211420,2012
420,2007
48000,2011
379720,2016
203770,2012
477160,2016
311210,2015
13140,2009
202970,2012
206210,2012
265630,2014
40800,2010
63380,
264710,2018
24200,2011
233450,2015
207610,2012
282070,2014
238320,2013
203140,2012
35720,2013
250900,2014
207140,2016
224540,
236110,2017
259080,2013
57300,2010
65980,2014
466240,2017
210770,2013
219150,2012
107100,2011
17500,2008
213670,2014
15620,2009
391220,2016
65300,2012
65800,2011
200260,2012
299360,2015
209080,2012
255520,2013
248570,2014
262410,2014
70000,2011
225540,2015
355840,2015
50130,2011
239030,2013
286160,2015
407530,2017
431240,2020
35140,2010
268500,2016
262060,2016
34030,2010
261640,2014
113020,2013
360170,2016
242920,2014
113420,2012
91600,2011
364360,2016
335240,2015
355180,2017
41070,2011
286690,2014
674940,2017
246620,2016
57690,2011
4920,2012
236850,2013
281990,2016
212070,2013
214420,2015
223470,2012
242720,2014
207230,2014
233720,2013
305620,2017
274190,2015
274940,2014
436520,2017
1840,2012
209000,2013
235540,2015
248820,2013
206500,2018
203290,2013
201810,2014
238090,2014
108710,2012
563560,2017
234140,2015
287700,2015
204100,2012
268910,2017
200170,2012
386180,2017
245620,2014
427520,2020
22350,2011
239820,2013
9880,2011
285900,2017
417860,2015
435150,2017
50620,2010
493340,2016
233130,2013
3590,2009
320300,2015
245170,2013
238430,2013
242050,
35700,2009
393380,2020
110800,2011
